"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-edge_101_win10_21h2","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","connect.gouv.nc/61.5.212.17","443","INFO","No connection","",""
"clientsimulation-java_8u161","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","connect.gouv.nc/61.5.212.17","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","connect.gouv.nc/61.5.212.17","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","connect.gouv.nc/61.5.212.17","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","connect.gouv.nc/61.5.212.17","443","INFO","100","",""
"protocol_support_score_weighted","connect.gouv.nc/61.5.212.17","443","INFO","30","",""
"key_exchange_score","connect.gouv.nc/61.5.212.17","443","INFO","90","",""
"key_exchange_score_weighted","connect.gouv.nc/61.5.212.17","443","INFO","27","",""
"cipher_strength_score","connect.gouv.nc/61.5.212.17","443","INFO","90","",""
"cipher_strength_score_weighted","connect.gouv.nc/61.5.212.17","443","INFO","36","",""
"final_score","connect.gouv.nc/61.5.212.17","443","INFO","93","",""
"overall_grade","connect.gouv.nc/61.5.212.17","443","OK","A","",""
"grade_cap_reason_1","connect.gouv.nc/61.5.212.17","443","INFO","Grade capped to A. HSTS is not offered","",""
